"","x"
"weather_regionupper_hutt",2.61159625641989
"weather_regionchristchurch",1.08614932455538
"weather_regiondunedin",12.7448046776042
"weather_regionhamilton",6.85586271764886
"weather_regionrotorua",3.7898278692332
"weather_regionnelson",1.48076385273523
"weather_regionwhangarei",5.85717114206403
"weather_regionclyde",4.03900037639429
"weather_regionpalmerston_north",11.9092566099924
"weather_regionnapier",7.06475139097678
"weather_regionstratford",4.20327757137471
"weather_regioninvercargill",13.58785146558
"weather_regionturangi",25.6527957683667
"weather_regiongreymouth",16.1152182116683
